epsilon,margin,binding_s1,binding_tree
0.099000000,0.133250871274,0,"(a0,a0,a1)"
0.100000000,0.133058443934,0,"(a0,a0,a1)"
0.101000000,0.132865181384,0,"(a0,a0,a1)"
0.102000000,0.132671084239,0,"(a0,a0,a1)"
0.103000000,0.132476153111,0,"(a0,a0,a1)"
0.104000000,0.132280388611,0,"(a0,a0,a1)"
0.105000000,0.132083791346,0,"(a0,a0,a1)"
0.106000000,0.131886361919,0,"(a0,a0,a1)"
0.107000000,0.131688100933,0,"(a0,a0,a1)"
0.108000000,0.131489008987,0,"(a0,a0,a1)"
0.109000000,0.131289086678,0,"(a0,a0,a1)"
0.110000000,0.131088334600,0,"(a0,a0,a1)"
0.111000000,0.130886753344,0,"(a0,a0,a1)"
0.112000000,0.130684343498,0,"(a0,a0,a1)"
0.113000000,0.130481105650,0,"(a0,a0,a1)"
0.114000000,0.130277040382,0,"(a0,a0,a1)"
0.115000000,0.130072148277,0,"(a0,a0,a1)"
0.116000000,0.129866429912,0,"(a0,a0,a1)"
0.117000000,0.129659885863,0,"(a0,a0,a1)"
0.118000000,0.129452516704,0,"(a0,a0,a1)"
0.119000000,0.129244323006,0,"(a0,a0,a1)"
0.120000000,0.129035305336,0,"(a0,a0,a1)"
0.121000000,0.128825464262,0,"(a0,a0,a1)"
0.122000000,0.128614800345,0,"(a0,a0,a1)"
0.123000000,0.128403314147,0,"(a0,a0,a1)"
0.124000000,0.128191006225,0,"(a0,a0,a1)"
0.125000000,0.127977877137,0,"(a0,a0,a1)"
0.126000000,0.127763927434,0,"(a0,a0,a1)"
0.127000000,0.127549157667,0,"(a0,a0,a1)"
0.128000000,0.127333568385,0,"(a0,a0,a1)"
0.129000000,0.127117160133,0,"(a0,a0,a1)"
0.130000000,0.126899933455,0,"(a0,a0,a1)"
0.131000000,0.126681888891,0,"(a0,a0,a1)"
0.132000000,0.126463026980,0,"(a0,a0,a1)"
0.133000000,0.126243348257,0,"(a0,a0,a1)"
0.134000000,0.126022853255,0,"(a0,a0,a1)"
0.135000000,0.125801542506,0,"(a0,a0,a1)"
0.136000000,0.125579416538,0,"(a0,a0,a1)"
0.137000000,0.125356475877,0,"(a0,a0,a1)"
0.138000000,0.125132721047,0,"(a0,a0,a1)"
0.139000000,0.124908152568,0,"(a0,a0,a1)"
0.140000000,0.124682770960,0,"(a0,a0,a1)"
0.141000000,0.124456576739,0,"(a0,a0,a1)"
0.142000000,0.124229570418,0,"(a0,a0,a1)"
0.143000000,0.124001752510,0,"(a0,a0,a1)"
0.144000000,0.123773123522,0,"(a0,a0,a1)"
0.145000000,0.123543683962,0,"(a0,a0,a1)"
0.146000000,0.123313434335,0,"(a0,a0,a1)"
0.147000000,0.123082375142,0,"(a0,a0,a1)"
0.148000000,0.122850506882,0,"(a0,a0,a1)"
0.149000000,0.122617830053,0,"(a0,a0,a1)"
0.150000000,0.122384345149,0,"(a0,a0,a1)"
0.151000000,0.122150052664,0,"(a0,a0,a1)"
0.152000000,0.121914953086,0,"(a0,a0,a1)"
0.153000000,0.121679046904,0,"(a0,a0,a1)"
0.154000000,0.121442334603,0,"(a0,a0,a1)"
0.155000000,0.121204816667,0,"(a0,a0,a1)"
0.156000000,0.120966493575,0,"(a0,a0,a1)"
0.157000000,0.120727365806,0,"(a0,a0,a1)"
0.158000000,0.120487433837,0,"(a0,a0,a1)"
0.159000000,0.120246698140,0,"(a0,a0,a1)"
0.160000000,0.120005159188,0,"(a0,a0,a1)"
0.161000000,0.119762817449,0,"(a0,a0,a1)"
0.162000000,0.119519673390,0,"(a0,a0,a1)"
0.163000000,0.119275727476,0,"(a0,a0,a1)"
0.164000000,0.119030980168,0,"(a0,a0,a1)"
